Purchase ID,SN,Age,Gender,Item ID,Item Name,Price,Ages
0,Lisim78,20,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53,20-24
1,Lisovynya38,40,Male,143,Frenzied Scimitar,1.56,40+
2,Ithergue48,24,Male,92,Final Critic,4.88,20-24
3,Chamassasya86,24,Male,100,Blindscythe,3.27,20-24
4,Iskosia90,23,Male,131,Fury,1.44,20-24
5,Yalae81,22,Male,81,Dreamkiss,3.61,20-24
6,Itheria73,36,Male,169,"Interrogator, Blood Blade of the Queen",2.18,35-39
7,Iskjaskst81,20,Male,162,Abyssal Shard,2.67,20-24
8,Undjask33,22,Male,21,Souleater,1.1,20-24
9,Chanosian48,35,Other / Non-Disclosed,136,Ghastly Adamantite Protector,3.58,35-39
10,Inguron55,23,Male,95,Singed Onyx Warscythe,4.74,20-24
11,Haisrisuir60,23,Male,162,Abyssal Shard,2.67,20-24
12,Saelaephos52,21,Male,116,Renewed Skeletal Katana,4.18,20-24
13,Assjaskan73,22,Male,4,Bloodlord's Fetish,1.7,20-24
14,Saesrideu94,35,Male,165,Bone Crushing Silver Skewer,4.86,35-39
15,Lisassa64,21,Female,98,"Deadline, Voice Of Subtlety",2.89,20-24
16,Lisirra25,20,Male,40,Second Chance,2.52,20-24
17,Zontibe81,21,Male,161,Devine,1.76,20-24
18,Reunasu60,22,Female,82,Nirvana,4.9,20-24
19,Chamalo71,30,Male,89,"Blazefury, Protector of Delusions",4.64,30-34
20,Iathenudil29,20,Male,57,"Despair, Favor of Due Diligence",4.6,20-24
21,Phiarithdeu40,20,Male,168,"Sun Strike, Jaws of Twisted Visions",1.48,20-24
22,Siarithria38,38,Other / Non-Disclosed,24,Warped Fetish,3.81,35-39
23,Eyrian71,40,Male,151,Severance,3.4,40+
24,Siala43,30,Male,141,Persuasion,3.19,30-34
25,Lisirra87,29,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,25-29
26,Lirtossa84,11,Male,71,Demise,1.61,10-14
27,Eusri44,7,Male,96,Blood-Forged Skeletal Spine,3.09,<10
28,Aela59,21,Male,119,"Stormbringer, Dark Blade of Ending Misery",4.32,20-24
29,Tyida79,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,20-24
30,Idai61,19,Male,140,Striker,2.94,15-19
31,Farusrian86,37,Male,179,"Wolf, Promise of the Moonwalker",4.48,35-39
32,Aeralria27,10,Male,133,Faith's Scimitar,4.09,10-14
33,Haillyrgue51,7,Male,44,Bonecarvin Battle Axe,2.38,<10
34,Sondim73,19,Male,160,Azurewrath,4.4,15-19
35,Jeyciman68,22,Male,53,Vengeance Cleaver,2.05,20-24
36,Idaisuir85,30,Male,76,Haunted Bronzed Bludgeon,3.15,30-34
37,Seuthep89,8,Male,73,Ritual Mace,2.05,<10
38,Reulae52,10,Female,116,Renewed Skeletal Katana,4.18,10-14
39,Sondilsaya62,21,Male,172,Blade of the Grave,3.14,20-24
40,Aerithriaphos45,20,Male,143,Frenzied Scimitar,1.56,20-24
41,Assosia88,20,Female,7,"Thorn, Satchel of Dark Souls",1.33,20-24
42,Aidaillodeu39,18,Male,72,Winter's Bite,3.77,15-19
43,Aelly27,24,Male,116,Renewed Skeletal Katana,4.18,20-24
