city,date,fare,ride_id,driver_count,type
West Heather,2018-05-07 19:22:15,44.94,4256853490277,4,Rural
Lake Latoyabury,2018-03-29 09:11:30,13.84,7906858980361,2,Rural
Taylorhaven,2018-04-06 01:01:29,45.31,2275364435623,1,Rural
Garzaport,2018-02-18 18:27:48,36.16,2928337561347,7,Rural
New Ryantown,2018-01-27 17:33:41,42.68,7994603753131,2,Rural
Bradshawfurt,2018-03-06 21:44:53,19.74,6080367372860,7,Rural
Randallchester,2018-04-13 11:13:31,43.22,1076079536213,9,Rural
North Holly,2018-02-02 14:54:00,12.42,1985256326182,8,Rural
Michaelberg,2018-01-18 00:46:28,15.12,1031697508349,6,Rural
South Marychester,2018-02-19 00:23:09,32.72,1481751072369,1,Rural
Newtonview,2018-04-01 13:39:13,26.73,3723530332713,1,Rural
North Jaime,2018-03-06 09:09:23,44.17,1152195873170,1,Rural
Penaborough,2018-02-24 00:44:00,21.89,2069309881916,6,Rural
Harringtonfort,2018-02-17 04:42:56,30.58,6835140871685,4,Rural
Lake Jamie,2018-04-19 04:32:47,16.29,3518682119233,4,Rural
Jessicaport,2018-01-14 07:09:17,18.05,5405362355006,1,Rural
South Jennifer,2018-04-01 09:32:45,21.63,9135979586871,7,Rural
South Saramouth,2018-04-12 18:11:50,57.23,5081198789583,7,Rural
Lewisland,2018-03-10 02:11:51,40.27,6284436941920,4,Suburban
Brandonfort,2018-03-03 04:25:34,46.01,2286156952037,10,Suburban
North Richardhaven,2018-02-07 13:18:22,27.02,640776642679,1,Suburban
New Olivia,2018-03-29 02:52:48,44.12,7724469578438,20,Suburban
Josephside,2018-01-18 10:21:24,14.75,6140372981362,25,Suburban
New Shannonberg,2018-05-02 21:53:54,28.99,3407814170184,20,Suburban
Victoriaport,2018-01-23 19:59:28,27.09,332810547902,16,Suburban
Nicolechester,2018-05-05 08:45:58,15.43,8496653987287,19,Suburban
South Teresa,2018-04-25 11:50:39,38.81,8758071332545,21,Suburban
New Raymond,2018-03-19 17:37:16,28.19,3977892106882,17,Suburban
Myersshire,2018-04-15 00:07:05,32.13,6921142559673,19,Suburban
Lake Omar,2018-02-20 21:56:22,33.61,2721355482706,22,Suburban
West Hannah,2018-02-13 09:44:34,42.61,881325632844,12,Suburban
Barronchester,2018-04-02 19:38:11,28.55,9112683292489,11,Suburban
East Kentstad,2018-04-07 19:44:19,18.75,6575961095852,20,Suburban
Lake Robertside,2018-01-13 18:22:18,28.37,5199680612896,4,Suburban
East Marymouth,2018-05-04 23:18:24,39.07,4459299920401,5,Suburban
Grayville,2018-03-05 12:31:13,14.15,3503584959643,2,Suburban
Lake Ann,2018-05-02 06:15:27,47.44,9066125697564,3,Suburban
Colemanland,2018-02-16 03:51:28,15.04,4027289544137,23,Suburban
Williamsonville,2018-04-04 03:48:54,18.77,7554684315330,2,Suburban
Veronicaberg,2018-04-02 03:59:06,16.63,4528063518400,20,Suburban
Lewishaven,2018-03-29 07:24:39,14.21,126282973686,23,Suburban
Davidfurt,2018-05-07 14:38:35,13.05,112651587608,23,Suburban
East Danielview,2018-02-25 03:54:05,26.33,513607352842,22,Suburban
Mezachester,2018-04-19 19:05:10,29.12,8894988518709,14,Suburban
West Kimmouth,2018-01-09 19:41:26,19.77,684128720530,4,Suburban
North Jeffrey,2018-01-23 23:42:43,27.11,6332047993934,11,Suburban
Lake Scott,2018-01-11 00:04:46,23.44,8557671784736,23,Suburban
Rodriguezview,2018-04-22 20:56:25,44.68,1139538927721,20,Suburban
Bethanyland,2018-04-01 22:04:35,38.71,8221076873967,22,Suburban
East Aaronbury,2018-04-11 03:24:14,34.4,6540905865488,7,Suburban
Sotoville,2018-03-29 22:38:04,34.97,7313956062903,10,Suburban
North Timothy,2018-04-29 23:10:18,29.39,6609337294720,7,Suburban
Port Shane,2018-04-03 22:33:51,15.59,127445516863,7,Suburban
South Brenda,2018-01-03 21:29:48,19.99,5348015913836,1,Suburban
Johnton,2018-04-05 07:12:55,22.87,1030619542522,27,Urban
Liumouth,2018-02-28 15:20:17,30.3,2081810970989,69,Urban
Raymondhaven,2018-03-20 02:20:34,38.53,8658255136559,11,Urban
Erikaland,2018-02-18 07:47:15,20.62,3294151034077,37,Urban
Karenside,2018-01-25 15:35:18,14.52,2652359361585,5,Urban
Christopherfurt,2018-03-13 01:47:52,32.05,2788817929605,41,Urban
Williamsstad,2018-01-20 18:47:43,18.79,5023157350397,59,Urban
Royland,2018-01-07 02:23:48,24.5,3620854074841,64,Urban
Carriemouth,2018-04-01 00:35:10,27.84,6589827440342,52,Urban
Karenberg,2018-02-19 16:11:56,12.25,3871929479027,22,Urban
North Madeline,2018-01-26 02:37:54,5.59,3676436575718,19,Urban
Pattyland,2018-02-21 17:53:52,7.06,5808457670013,59,Urban
Amandaburgh,2018-02-24 23:10:49,43.66,6573820412437,12,Urban
Port Johnbury,2018-04-25 00:15:02,10.26,2977082935156,3,Urban
Robertport,2018-03-06 09:51:08,6.73,9679756863064,12,Urban
West Gabriel,2018-04-29 01:22:02,36.7,4103498186235,57,Urban
North Barbara,2018-01-08 05:21:41,25.84,3505169399905,18,Urban
Lake Danielberg,2018-02-04 17:32:55,24.49,859545474575,19,Urban
South Phillip,2018-02-09 16:46:59,7.89,3203192947260,38,Urban
Lake Jonathanshire,2018-01-14 10:14:22,13.83,5739410935873,5,Urban
Williamsview,2018-02-08 06:11:38,25.3,2324596536285,46,Urban
Leahton,2018-02-26 18:42:15,8.85,6966668662612,17,Urban
North Jason,2018-01-12 19:19:33,9.97,8000607854022,6,Urban
West Anthony,2018-01-10 02:31:33,32.34,1479317039864,70,Urban
West Angela,2018-04-11 06:59:17,29.06,713854282118,48,Urban
Roberthaven,2018-02-24 10:26:34,7.8,2180566685151,47,Urban
West Samuelburgh,2018-04-17 11:25:21,15.03,4021528530189,73,Urban
