0,1
Amandaburgh,"             city                 date   fare        ride_id  driver_count  \
1562  Amandaburgh  2018-03-05 02:15:38  26.28   906850928986            12   
1563  Amandaburgh  2018-02-24 23:10:49  43.66  6573820412437            12   
1564  Amandaburgh  2018-02-10 20:42:46  36.17  6455620849753            12   
1565  Amandaburgh  2018-01-11 02:22:07  29.24  7279902884763            12   
1566  Amandaburgh  2018-01-21 04:12:54   9.26  5528427024492            12   
1567  Amandaburgh  2018-04-19 16:30:12   6.27  4400632718421            12   
1568  Amandaburgh  2018-03-20 07:40:33  27.45  3701008274871            12   
1569  Amandaburgh  2018-04-01 09:24:21  24.29  1995462170530            12   
1570  Amandaburgh  2018-04-20 02:16:07  16.27  3513123734716            12   
1571  Amandaburgh  2018-03-13 12:52:31  13.88  6222134922674            12   
1572  Amandaburgh  2018-04-22 21:34:17  42.52  1901157522591            12   
1573  Amandaburgh  2018-02-06 10:02:30  11.93  7550325158038            12   
1574  Amandaburgh  2018-04-24 08:02:27  14.55  7836117055007            12   
1575  Amandaburgh  2018-04-05 10:22:33  25.55  8581415267582            12   
1576  Amandaburgh  2018-03-07 02:26:33  18.76  3419454549176            12   
1577  Amandaburgh  2018-01-02 09:57:04  33.06  6330658179518            12   
1578  Amandaburgh  2018-01-13 16:04:10  23.35  9975084532253            12   
1579  Amandaburgh  2018-01-29 23:28:12  41.06  4296858665195            12   

       type  
1562  Urban  
1563  Urban  
1564  Urban  
1565  Urban  
1566  Urban  
1567  Urban  
1568  Urban  
1569  Urban  
1570  Urban  
1571  Urban  
1572  Urban  
1573  Urban  
1574  Urban  
1575  Urban  
1576  Urban  
1577  Urban  
1578  Urban  
1579  Urban  "
Barajasview,"             city                 date   fare        ride_id  driver_count  \
1064  Barajasview  2018-01-15 02:59:07  19.52  8268107272481            26   
1065  Barajasview  2018-01-23 13:23:53  37.68  4108452999906            26   
1066  Barajasview  2018-02-08 18:07:22  24.49  2612169071005            26   
1067  Barajasview  2018-03-01 11:06:21  28.25  7225827834994            26   
1068  Barajasview  2018-02-19 02:25:34  26.83   937248382509            26   
1069  Barajasview  2018-04-15 20:37:17  17.76  8098247711287            26   
1070  Barajasview  2018-05-02 21:02:33  17.12  4628923040888            26   
1071  Barajasview  2018-04-09 08:10:39  39.36  1801612492097            26   
1072  Barajasview  2018-02-03 09:58:39  39.39  9437995336707            26   
1073  Barajasview  2018-03-12 04:54:10  37.05  1829231979881            26   
1074  Barajasview  2018-03-15 22:44:08  28.30  1314271514395            26   
1075  Barajasview  2018-03-19 12:17:33  26.60  5623058981104            26   
1076  Barajasview  2018-01-02 23:23:19  36.13  8567191526174            26   
1077  Barajasview  2018-01-14 11:00:56  19.81  2376258275704            26   
1078  Barajasview  2018-05-06 01:06:46  17.63  9233210711447            26   
1079  Barajasview  2018-04-03 15:25:40  44.15  9596158245970            26   
1080  Barajasview  2018-01-24 05:58:33   9.21  1841073494391            26   
1081  Barajasview  2018-03-24 06:34:31  12.24   766512199846            26   
1082  Barajasview  2018-04-18 08:44:07  12.35  6122257582314            26   
1083  Barajasview  2018-01-04 09:32:47  12.25  1657106589275            26   
1084  Barajasview  2018-03-29 01:02:09  29.55  3838354230678            26   
1085  Barajasview  2018-01-12 23:20:59  21.64  3010027933226            26   

       type  
1064  Urban  
1065  Urban  
1066  Urban  
1067  Urban  
1068  Urban  
1069  Urban  
1070  Urban  
1071  Urban  
1072  Urban  
1073  Urban  
1074  Urban  
1075  Urban  
1076  Urban  
1077  Urban  
1078  Urban  
1079  Urban  
1080  Urban  
1081  Urban  
1082  Urban  
1083  Urban  
1084  Urban  
1085  Urban  "
Barronchester,"               city                 date   fare        ride_id  driver_count  \
1625  Barronchester  2018-01-27 03:08:01  27.79  6653622887913            11   
1626  Barronchester  2018-05-05 04:03:11  30.38  2281522828169            11   
1627  Barronchester  2018-04-25 19:11:43  36.13  2660177707065            11   
1628  Barronchester  2018-03-31 06:05:30  44.24  1252888806772            11   
1629  Barronchester  2018-03-02 23:36:58  36.49  4031573980778            11   
1630  Barronchester  2018-04-07 14:43:07  21.95  9355805102444            11   
1631  Barronchester  2018-02-18 18:35:53  42.32  3493518346796            11   
1632  Barronchester  2018-03-06 06:36:21  46.07  4553523995651            11   
1633  Barronchester  2018-03-26 18:27:56  30.32  1775559300626            11   
1634  Barronchester  2018-03-20 18:52:21  35.09  4842145178376            11   
1635  Barronchester  2018-01-09 09:01:36  38.57  1246866692006            11   
1636  Barronchester  2018-02-04 14:59:51  45.75  7216532928092            11   
1637  Barronchester  2018-04-28 11:49:26  39.19  9917743781176            11   
1638  Barronchester  2018-03-19 19:18:34  46.42  2887135489546            11   
1639  Barronchester  2018-04-02 19:38:11  28.55  9112683292489            11   
1640  Barronchester  2018-04-05 14:12:55  33.50    91435348621            11   

          type  
1625  Suburban  
1626  Suburban  
1627  Suburban  
1628  Suburban  
1629  Suburban  
1630  Suburban  
1631  Suburban  
1632  Suburban  
1633  Suburban  
1634  Suburban  
1635  Suburban  
1636  Suburban  
1637  Suburban  
1638  Suburban  
1639  Suburban  
1640  Suburban  "
Bethanyland,"             city                 date   fare        ride_id  driver_count  \
1954  Bethanyland  2018-04-01 22:04:35  38.71  8221076873967            22   
1955  Bethanyland  2018-03-15 19:42:56  37.09  6243188816016            22   
1956  Bethanyland  2018-02-11 17:43:43  23.06  4374740778403            22   
1957  Bethanyland  2018-05-03 04:50:41  40.85  6700635166631            22   
1958  Bethanyland  2018-03-26 18:27:51  24.27  7247229698318            22   
1959  Bethanyland  2018-02-18 09:31:03  38.80  9382233946258            22   
1960  Bethanyland  2018-02-03 05:47:32  22.82  9675694931759            22   
1961  Bethanyland  2018-02-08 19:50:47  28.27  5518527619513            22   
1962  Bethanyland  2018-03-17 20:29:08  44.81  4173232788582            22   
1963  Bethanyland  2018-01-25 01:04:58  41.85  5327294613811            22   
1964  Bethanyland  2018-01-28 08:33:08  23.73  4132453263650            22   
1965  Bethanyland  2018-04-30 19:49:17  27.99  9682191340144            22   
1966  Bethanyland  2018-04-17 22:37:19  28.68  3150943404490            22   
1967  Bethanyland  2018-03-23 21:53:17  40.07   635880709905            22   
1968  Bethanyland  2018-03-14 09:47:00  44.31   578529678609            22   
1969  Bethanyland  2018-03-15 13:10:56  39.66  9766441752274            22   
1970  Bethanyland  2018-03-06 10:01:58  13.86  8571759718178            22   
1971  Bethanyland  2018-04-02 04:29:09  34.38  1783847934910            22   

          type  
1954  Suburban  
1955  Suburban  
1956  Suburban  
1957  Suburban  
1958  Suburban  
1959  Suburban  
1960  Suburban  
1961  Suburban  
1962  Suburban  
1963  Suburban  
1964  Suburban  
1965  Suburban  
1966  Suburban  
1967  Suburban  
1968  Suburban  
1969  Suburban  
1970  Suburban  
1971  Suburban  "
Bradshawfurt,"              city                 date   fare        ride_id  driver_count  \
2302  Bradshawfurt  2018-03-06 21:44:53  19.74  6080367372860             7   
2303  Bradshawfurt  2018-03-24 18:53:18  57.51  2301998876294             7   
2304  Bradshawfurt  2018-03-24 07:34:03  19.89  7867402022145             7   
2305  Bradshawfurt  2018-02-18 22:21:26  34.32  8881996813087             7   
2306  Bradshawfurt  2018-04-08 13:46:03  55.19  1742954306812             7   
2307  Bradshawfurt  2018-04-07 21:12:49  49.70  5088814323688             7   
2308  Bradshawfurt  2018-02-23 12:00:59  37.05  2068423024643             7   
2309  Bradshawfurt  2018-04-10 09:47:54  19.07   739305106253             7   
2310  Bradshawfurt  2018-01-19 20:21:54  56.78  1253403506597             7   
2311  Bradshawfurt  2018-01-30 10:55:23  51.39  1328274868072             7   

       type  
2302  Rural  
2303  Rural  
2304  Rural  
2305  Rural  
2306  Rural  
2307  Rural  
2308  Rural  
2309  Rural  
2310  Rural  
2311  Rural  "
Brandonfort,"             city                 date   fare        ride_id  driver_count  \
1806  Brandonfort  2018-01-14 12:35:27  28.02  8100258078935            10   
1807  Brandonfort  2018-04-08 20:02:21  35.64  6109525300344            10   
1808  Brandonfort  2018-03-22 16:17:49  38.66  4748541004175            10   
1809  Brandonfort  2018-05-02 03:14:18  48.63  4443575880282            10   
1810  Brandonfort  2018-01-02 01:41:26  49.95  1298465164057            10   
1811  Brandonfort  2018-03-19 05:49:55  45.52   201086012271            10   
1812  Brandonfort  2018-04-07 00:42:08  35.76  2965849159792            10   
1813  Brandonfort  2018-02-06 02:32:22  35.41  5053221471789            10   
1814  Brandonfort  2018-01-11 16:25:13  37.35  8701944957703            10   
1815  Brandonfort  2018-05-03 02:01:05  41.62  3183134104848            10   
1816  Brandonfort  2018-03-26 19:35:06  19.22  8658457339949            10   
1817  Brandonfort  2018-01-10 11:10:22  40.20  9840779665113            10   
1818  Brandonfort  2018-03-13 23:19:14  21.62  9839553829612            10   
1819  Brandonfort  2018-04-19 05:52:21  44.24  1398339465829            10   
1820  Brandonfort  2018-03-16 20:49:24  19.23  4358700532755            10   
1821  Brandonfort  2018-01-30 01:51:47  17.50  6477215459314            10   
1822  Brandonfort  2018-04-04 21:13:48  21.56  8108433190649            10   
1823  Brandonfort  2018-03-03 04:25:34  46.01  2286156952037            10   
1824  Brandonfort  2018-04-15 04:12:53  47.17  7388012906675            10   

          type  
1806  Suburban  
1807  Suburban  
1808  Suburban  
1809  Suburban  
1810  Suburban  
1811  Suburban  
1812  Suburban  
1813  Suburban  
1814  Suburban  
1815  Suburban  
1816  Suburban  
1817  Suburban  
1818  Suburban  
1819  Suburban  
1820  Suburban  
1821  Suburban  
1822  Suburban  
1823  Suburban  
1824  Suburban  "
Carriemouth,"             city                 date   fare        ride_id  driver_count  \
1174  Carriemouth  2018-02-25 08:26:25  32.37  6918425016992            52   
1175  Carriemouth  2018-03-11 21:35:00  16.78  1519393006937            52   
1176  Carriemouth  2018-04-04 13:22:44  12.91  4276692439725            52   
1177  Carriemouth  2018-04-28 14:28:36  11.46  6991852632799            52   
1178  Carriemouth  2018-02-21 16:38:59  44.18  4528590417948            52   
1179  Carriemouth  2018-03-02 15:40:25  28.04  5138542326977            52   
1180  Carriemouth  2018-03-21 15:40:04  44.64  9560844852216            52   
1181  Carriemouth  2018-05-01 04:53:47  10.97  8792105073561            52   
1182  Carriemouth  2018-03-27 02:11:44  38.69  4407120983828            52   
1183  Carriemouth  2018-01-15 06:27:59  24.13  7417680158298            52   
1184  Carriemouth  2018-05-08 04:20:00  21.99   117997692054            52   
1185  Carriemouth  2018-02-04 00:29:52  24.87  6015598860404            52   
1186  Carriemouth  2018-02-17 05:01:00  22.66  3717939611043            52   
1187  Carriemouth  2018-01-04 15:56:18  31.99  4872537912318            52   
1188  Carriemouth  2018-04-28 09:25:03  37.35  4812351487449            52   
1189  Carriemouth  2018-04-01 00:35:10  27.84  6589827440342            52   
1190  Carriemouth  2018-03-08 13:35:49  34.32  7984921253550            52   
1191  Carriemouth  2018-03-26 10:39:21  26.91  7852477915591            52   
1192  Carriemouth  2018-02-21 15:09:30  23.48  4757309916575            52   
1193  Carriemouth  2018-02-26 05:24:14  19.05  1954595027791            52   
1194  Carriemouth  2018-04-18 17:01:19  37.63  7736868729205            52   
1195  Carriemouth  2018-04-15 08:00:48  40.03  2667929739732            52   
1196  Carriemouth  2018-03-08 09:53:56  37.81  7350661461430            52   
1197  Carriemouth  2018-05-04 10:28:25  41.54  1102333782246            52   
1198  Carriemouth  2018-04-05 02:03:50  38.17  8161204669836            52   
1199  Carriemouth  2018-04-27 20:41:36   8.28   451752270898            52   
1200  Carriemouth  2018-03-25 21:25:47  26.40  4293523822822            52   

       type  
1174  Urban  
1175  Urban  
1176  Urban  
1177  Urban  
1178  Urban  
1179  Urban  
1180  Urban  
1181  Urban  
1182  Urban  
1183  Urban  
1184  Urban  
1185  Urban  
1186  Urban  
1187  Urban  
1188  Urban  
1189  Urban  
1190  Urban  
1191  Urban  
1192  Urban  
1193  Urban  
1194  Urban  
1195  Urban  
1196  Urban  
1197  Urban  
1198  Urban  
1199  Urban  
1200  Urban  "
Christopherfurt,"                 city                 date   fare        ride_id  \
1271  Christopherfurt  2018-04-17 02:25:49  23.30  7819057680096   
1272  Christopherfurt  2018-01-05 22:21:59  33.51  1901033209479   
1273  Christopherfurt  2018-02-24 02:56:43  40.33  9584185927129   
1274  Christopherfurt  2018-04-13 08:29:32  37.22  3288049380261   
1275  Christopherfurt  2018-04-09 00:32:07  29.96  9825842278797   
1276  Christopherfurt  2018-04-17 22:12:49  32.39   653651735748   
1277  Christopherfurt  2018-03-30 13:15:56  31.30  7457133283931   
1278  Christopherfurt  2018-03-16 19:46:26  19.61  2290365678398   
1279  Christopherfurt  2018-01-30 22:09:42   6.32  4289780319755   
1280  Christopherfurt  2018-02-08 11:46:15  25.76   951780836764   
1281  Christopherfurt  2018-04-12 14:37:13  22.91  5928118050739   
1282  Christopherfurt  2018-04-06 22:33:03  27.46  7399938354587   
1283  Christopherfurt  2018-01-04 04:30:04  15.47  1471158684562   
1284  Christopherfurt  2018-03-12 09:22:48  35.57  8286128053094   
1285  Christopherfurt  2018-05-07 17:27:48   6.39  7608007126056   
1286  Christopherfurt  2018-03-25 17:11:15   7.19  6892683521361   
1287  Christopherfurt  2018-05-03 12:46:04  14.43  5644928631417   
1288  Christopherfurt  2018-03-18 09:24:46   7.45  4451216191000   
1289  Christopherfurt  2018-03-25 20:35:29  23.38   499819477057   
1290  Christopherfurt  2018-02-12 14:24:45  11.70  8493510475659   
1291  Christopherfurt  2018-03-10 07:36:14  22.65  5004635115882   
1292  Christopherfurt  2018-03-15 10:22:43  34.09  1264516579194   
1293  Christopherfurt  2018-04-14 03:24:52  39.91   253265651115   
1294  Christopherfurt  2018-02-23 08:31:48  15.61  8295289890035   
1295  Christopherfurt  2018-02-04 12:11:36  41.12   807740496588   
1296  Christopherfurt  2018-04-04 01:11:37  24.47   571640743706   
1297  Christopherfurt  2018-03-13 01:47:52  32.05  2788817929605   

      driver_count   type  
1271            41  Urban  
1272            41  Urban  
1273            41  Urban  
1274            41  Urban  
1275            41  Urban  
1276            41  Urban  
1277            41  Urban  
1278            41  Urban  
1279            41  Urban  
1280            41  Urban  
1281            41  Urban  
1282            41  Urban  
1283            41  Urban  
1284            41  Urban  
1285            41  Urban  
1286            41  Urban  
1287            41  Urban  
1288            41  Urban  
1289            41  Urban  
1290            41  Urban  
1291            41  Urban  
1292            41  Urban  
1293            41  Urban  
1294            41  Urban  
1295            41  Urban  
1296            41  Urban  
1297            41  Urban  "
Colemanland,"             city                 date   fare        ride_id  driver_count  \
2157  Colemanland  2018-04-20 02:52:45  20.83  2981565641427            23   
2158  Colemanland  2018-03-05 04:33:30  13.39  8894920928658            23   
2159  Colemanland  2018-03-02 02:11:21  36.81   116923856607            23   
2160  Colemanland  2018-02-20 04:19:28  43.09  8700311126445            23   
2161  Colemanland  2018-01-01 00:46:46  47.74  2215912677020            23   
2162  Colemanland  2018-02-21 22:04:15  30.97  4046533498880            23   
2163  Colemanland  2018-02-01 20:59:22  16.11  7600287198570            23   
2164  Colemanland  2018-02-28 21:02:12  35.07  8313326364278            23   
2165  Colemanland  2018-02-26 17:44:43  32.70  7015485636913            23   
2166  Colemanland  2018-04-29 07:09:31  34.77   300412726001            23   
2167  Colemanland  2018-04-23 17:09:32  16.10  3625743778329            23   
2168  Colemanland  2018-04-22 07:16:32  31.43  8428157821651            23   
2169  Colemanland  2018-04-16 18:17:30  42.08  9746040332930            23   
2170  Colemanland  2018-01-11 00:28:17  49.28  4064528886108            23   
2171  Colemanland  2018-02-16 03:51:28  15.04  4027289544137            23   
2172  Colemanland  2018-02-10 03:12:51  35.76  8313085686130            23   
2173  Colemanland  2018-02-19 02:23:12  23.45  1224675465837            23   
2174  Colemanland  2018-01-22 10:21:39  46.43  3162069407712            23   
2175  Colemanland  2018-04-05 05:23:54  43.91   389097028280            23   
2176  Colemanland  2018-01-19 15:24:42  24.40  6652560250346            23   
2177  Colemanland  2018-05-04 04:24:31  12.62  4902707063158            23   
2178  Colemanland  2018-01-10 06:49:58  27.70  8704067171414            23   

          type  
2157  Suburban  
2158  Suburban  
2159  Suburban  
2160  Suburban  
2161  Suburban  
2162  Suburban  
2163  Suburban  
2164  Suburban  
2165  Suburban  
2166  Suburban  
2167  Suburban  
2168  Suburban  
2169  Suburban  
2170  Suburban  
2171  Suburban  
2172  Suburban  
2173  Suburban  
2174  Suburban  
2175  Suburban  
2176  Suburban  
2177  Suburban  
2178  Suburban  "
Davidfurt,"           city                 date   fare        ride_id  driver_count  \
2216  Davidfurt  2018-01-05 13:42:28  31.48  1953915881204            23   
2217  Davidfurt  2018-01-17 17:58:27  28.28  6647857817333            23   
2218  Davidfurt  2018-03-26 04:20:21  28.69  5103497014248            23   
2219  Davidfurt  2018-03-15 05:02:16  48.34  2406097680527            23   
2220  Davidfurt  2018-02-03 13:58:48  33.84  7159296242243            23   
2221  Davidfurt  2018-02-20 01:41:29  46.67  2882130044370            23   
2222  Davidfurt  2018-04-06 15:38:15  17.99  8578112173926            23   
2223  Davidfurt  2018-04-27 23:52:44  45.98  5455003677202            23   
2224  Davidfurt  2018-02-12 10:07:16  49.55  3639310284076            23   
2225  Davidfurt  2018-02-18 07:04:48  17.06  2084060010290            23   
2226  Davidfurt  2018-02-01 04:21:21  20.44   185973569492            23   
2227  Davidfurt  2018-02-03 03:14:14  40.18  8116976277000            23   
2228  Davidfurt  2018-04-18 15:43:15  47.30  8289341261260            23   
2229  Davidfurt  2018-04-03 17:52:26  21.29  3934287956576            23   
2230  Davidfurt  2018-05-07 14:38:35  13.05   112651587608            23   
2231  Davidfurt  2018-02-05 18:23:12  27.55  6574875170013            23   
2232  Davidfurt  2018-03-09 23:07:34  26.24  4652485631550            23   

          type  
2216  Suburban  
2217  Suburban  
2218  Suburban  
2219  Suburban  
2220  Suburban  
2221  Suburban  
2222  Suburban  
2223  Suburban  
2224  Suburban  
2225  Suburban  
2226  Suburban  
2227  Suburban  
2228  Suburban  
2229  Suburban  
2230  Suburban  
2231  Suburban  
2232  Suburban  "
