city,date,fare,ride_id,driver_count,type
West Heather,2018-05-07 19:22:15,44.94,4256853490277,4,Rural
Lake Latoyabury,2018-03-29 09:11:30,13.84,7906858980361,2,Rural
Lake Latoyabury,2018-01-24 13:32:12,34.74,5962674963447,2,Rural
Lake Latoyabury,2018-04-14 07:06:11,11.94,2040674187360,2,Rural
Lake Latoyabury,2018-02-25 04:10:19,16.18,8492924830016,2,Rural
Lake Latoyabury,2018-01-30 00:05:47,20.76,9018727594352,2,Rural
Taylorhaven,2018-04-06 01:01:29,45.31,2275364435623,1,Rural
Taylorhaven,2018-03-05 21:19:53,38.18,8555320757742,1,Rural
Taylorhaven,2018-04-03 05:41:37,38.92,8300454322089,1,Rural
Taylorhaven,2018-04-01 16:37:45,54.65,9098060466868,1,Rural
Taylorhaven,2018-03-05 04:46:17,29.45,2159383884146,1,Rural
Taylorhaven,2018-04-02 09:17:31,47.07,8573150084531,1,Rural
Garzaport,2018-02-18 18:27:48,36.16,2928337561347,7,Rural
Garzaport,2018-04-17 01:48:27,17.31,6092414045061,7,Rural
Garzaport,2018-05-06 16:57:16,18.9,8826696981094,7,Rural
New Ryantown,2018-01-27 17:33:41,42.68,7994603753131,2,Rural
New Ryantown,2018-04-18 19:43:54,42.97,230914178346,2,Rural
New Ryantown,2018-02-04 23:54:51,45.7,3570428225530,2,Rural
New Ryantown,2018-04-30 01:50:44,50.81,5357550405010,2,Rural
New Ryantown,2018-04-05 21:38:18,50.98,4834855490008,2,Rural
New Ryantown,2018-05-05 19:29:38,26.53,2302209966018,2,Rural
Bradshawfurt,2018-03-06 21:44:53,19.74,6080367372860,7,Rural
Bradshawfurt,2018-03-24 18:53:18,57.51,2301998876294,7,Rural
Bradshawfurt,2018-03-24 07:34:03,19.89,7867402022145,7,Rural
Bradshawfurt,2018-02-18 22:21:26,34.32,8881996813087,7,Rural
Bradshawfurt,2018-04-08 13:46:03,55.19,1742954306812,7,Rural
Bradshawfurt,2018-04-07 21:12:49,49.7,5088814323688,7,Rural
Bradshawfurt,2018-02-23 12:00:59,37.05,2068423024643,7,Rural
Lake Latoyabury,2018-04-16 21:12:48,24.1,4896030744313,2,Rural
Lake Latoyabury,2018-04-22 16:56:46,38.46,1671918742352,2,Rural
Lake Latoyabury,2018-01-22 12:42:55,13.5,8493335787500,2,Rural
Lake Latoyabury,2018-04-02 21:00:22,13.46,8232864757802,2,Rural
Randallchester,2018-04-13 11:13:31,43.22,1076079536213,9,Rural
Randallchester,2018-02-19 03:52:47,58.55,8004803682564,9,Rural
Randallchester,2018-02-11 05:42:29,25.78,9010611749008,9,Rural
Randallchester,2018-03-25 13:36:46,10.37,3216382725494,9,Rural
Randallchester,2018-04-07 23:42:07,10.79,1615474447641,9,Rural
North Holly,2018-02-02 14:54:00,12.42,1985256326182,8,Rural
North Holly,2018-02-16 17:02:51,39.46,4571476032148,8,Rural
North Holly,2018-01-04 03:31:26,24.88,4195619112933,8,Rural
North Holly,2018-04-21 21:14:22,18.54,6259094156900,8,Rural
North Holly,2018-03-28 00:12:09,35.45,3262489198068,8,Rural
North Holly,2018-01-23 06:52:00,40.24,3921870176169,8,Rural
North Holly,2018-01-03 19:51:01,19.9,5559509612597,8,Rural
North Holly,2018-04-18 19:26:25,30.94,3441061016826,8,Rural
Bradshawfurt,2018-04-10 09:47:54,19.07,739305106253,7,Rural
North Holly,2018-03-18 10:38:05,40.34,3787775176860,8,Rural
Michaelberg,2018-01-18 00:46:28,15.12,1031697508349,6,Rural
Michaelberg,2018-03-27 21:48:36,38.62,364151831884,6,Rural
Michaelberg,2018-01-11 04:39:27,16.42,8800556719157,6,Rural
Michaelberg,2018-04-22 17:28:52,19.27,26848733115,6,Rural
Michaelberg,2018-05-02 11:57:42,52.71,5649532113861,6,Rural
Michaelberg,2018-01-19 12:38:07,38.68,103217578833,6,Rural
Michaelberg,2018-03-10 10:05:15,56.48,3757070857078,6,Rural
Michaelberg,2018-03-22 22:20:54,38.3,8032727406577,6,Rural
Michaelberg,2018-03-13 14:40:18,37.72,8842606115175,6,Rural
Michaelberg,2018-01-27 18:43:05,38.42,862622008020,6,Rural
Michaelberg,2018-04-29 17:04:39,13.38,8550365057598,6,Rural
Lake Latoyabury,2018-02-23 21:12:24,47.9,3269652929887,2,Rural
Lake Latoyabury,2018-05-06 08:57:56,51.8,4018025271936,2,Rural
Michaelberg,2018-03-27 18:27:34,54.85,4421836952718,6,Rural
Bradshawfurt,2018-01-19 20:21:54,56.78,1253403506597,7,Rural
West Heather,2018-02-02 06:28:04,53.07,2462950442268,4,Rural
South Marychester,2018-02-19 00:23:09,32.72,1481751072369,1,Rural
Newtonview,2018-04-01 13:39:13,26.73,3723530332713,1,Rural
Newtonview,2018-04-25 10:20:13,55.84,9990581345298,1,Rural
North Jaime,2018-03-06 09:09:23,44.17,1152195873170,1,Rural
North Jaime,2018-03-12 13:05:56,23.21,5987447089759,1,Rural
North Jaime,2018-04-04 13:13:40,51.83,9116047435376,1,Rural
North Jaime,2018-02-01 08:59:24,17.05,9481117811603,1,Rural
North Jaime,2018-05-06 00:58:17,41.18,7328094869758,1,Rural
North Jaime,2018-04-04 01:58:37,43.86,8195436622338,1,Rural
North Jaime,2018-04-27 17:58:27,14.01,2156688209209,1,Rural
North Jaime,2018-02-10 21:03:50,11.11,2781339863778,1,Rural
Penaborough,2018-02-24 00:44:00,21.89,2069309881916,6,Rural
Penaborough,2018-04-27 06:02:10,38.33,547013925055,6,Rural
Penaborough,2018-01-14 15:58:48,54.1,432925983890,6,Rural
Newtonview,2018-02-05 22:53:21,45.02,7075366458478,1,Rural
Penaborough,2018-02-03 17:15:31,51.8,5383427508621,6,Rural
Harringtonfort,2018-02-17 04:42:56,30.58,6835140871685,4,Rural
Harringtonfort,2018-04-16 16:30:50,17.39,4023962353348,4,Rural
