city,lat,temp,humidity,cloudiness,windspeed
Esperance,-33.86,51.8,100,90,6.93
Yellowknife,62.45,68.0,60,20,4.7
Georgetown,6.8,84.2,79,40,6.93
Ouesso,1.61,80.19,80,41,3.83
Atuona,-9.8,79.83,76,8,16.17
Hobart,-42.88,44.6,65,75,10.29
Hithadhoo,-0.6,83.43,74,99,6.96
Neiafu,-18.65,60.8,100,20,7.27
Varhaug,58.61,73.0,77,20,13.87
Kapaa,22.08,80.6,74,40,11.41
Rikitea,-23.12,69.03,76,100,16.96
Tuatapere,-46.13,39.99,98,0,8.99
Kruisfontein,-34.0,59.85,57,16,33.4
Ushuaia,-54.81,35.6,74,75,16.11
Bambous Virieux,-20.34,71.6,78,75,16.11
Upernavik,72.79,47.07,61,0,7.85
Kupang,-10.16,74.97,71,44,16.67
Thompson,55.74,68.0,68,40,4.7
Dalbandin,28.9,92.97,27,100,17.6
Clearlake,38.96,68.0,72,1,2.86
Meadow Lake,54.13,69.8,68,20,5.82
Mount Gambier,-37.83,44.6,81,40,8.05
Codrington,-28.95,55.99,93,0,10.29
Tortoli,39.93,89.6,55,20,10.29
Kununurra,-15.77,62.6,55,2,7.56
Traverse City,44.76,72.0,64,40,10.29
Vaini,15.34,77.13,92,100,3.87
Kenora,49.76,71.6,60,27,10.29
Bredasdorp,-34.53,59.0,62,67,12.75
Devils Lake,48.11,71.6,64,20,5.82
Marawi,8.0,75.99,91,100,5.01
Asuncion Mita,14.33,69.93,79,100,2.66
Nuuk,64.17,42.8,93,90,9.17
Parvatipuram,18.78,74.97,88,53,1.36
Husavik,50.56,73.99,66,0,5.01
Tsiroanomandidy,-18.77,64.71,24,0,2.28
Hermanus,-34.42,54.0,79,67,5.01
Albany,42.65,69.01,93,90,5.14
La Ronge,55.1,69.8,68,20,5.82
Saint-Philippe,45.36,75.99,53,1,3.36
Saldanha,41.42,94.59,24,13,6.82
Norman Wells,65.28,60.8,82,20,6.93
Katsuura,33.93,78.8,83,75,2.24
Qaanaaq,77.48,41.49,64,100,9.1
New Norfolk,-42.78,44.6,65,75,10.29
Busselton,-33.64,59.0,61,100,6.42
Lavrentiya,65.58,43.29,97,100,4.76
Ambon,47.55,89.6,49,0,16.11
Punta Arenas,-53.16,35.6,80,0,9.17
Panguma,8.18,74.79,95,100,6.98
Isangel,-19.55,70.83,68,3,15.73
Chokurdakh,70.62,47.97,64,100,14.18
Kavaratti,10.57,82.53,76,100,20.07
Airai,-8.93,65.61,66,0,6.13
Soyo,-6.13,78.8,65,0,11.41
Meulaboh,4.14,85.23,63,80,1.19
Beidao,34.57,68.67,54,69,3.09
Mataura,-46.19,39.99,98,3,4.61
Banepa,27.63,75.2,88,75,4.7
